,train,val,test
0,KICH_01,KICH_12,KICH_11
1,KICH_02,KIRC_04,KIRC_06
2,KICH_03,KIRC_24,KIRC_08
3,KICH_04,KIRC_29,KIRC_25
4,KICH_05,KIRP_03,KIRP_09
5,KICH_06,KIRP_08,KIRP_14
6,KICH_07,,
7,KICH_08,,
8,KICH_09,,
9,KICH_10,,
10,KIRC_01,,
11,KIRC_02,,
12,KIRC_03,,
13,KIRC_05,,
14,KIRC_07,,
15,KIRC_09,,
16,KIRC_10,,
17,KIRC_11,,
18,KIRC_12,,
19,KIRC_13,,
20,KIRC_14,,
21,KIRC_15,,
22,KIRC_16,,
23,KIRC_17,,
24,KIRC_18,,
25,KIRC_19,,
26,KIRC_20,,
27,KIRC_21,,
28,KIRC_22,,
29,KIRC_23,,
30,KIRC_26,,
31,KIRC_27,,
32,KIRC_28,,
33,KIRC_30,,
34,KIRP_01,,
35,KIRP_02,,
36,KIRP_04,,
37,KIRP_05,,
38,KIRP_06,,
39,KIRP_07,,
40,KIRP_10,,
41,KIRP_11,,
42,KIRP_12,,
43,KIRP_13,,
44,KIRP_15,,
45,KIRP_16,,
46,KIRP_17,,
47,KIRP_18,,
