,train,val,test
0,KICH_01,KICH_11,KICH_06
1,KICH_02,KIRC_24,KIRC_02
2,KICH_03,KIRC_25,KIRC_09
3,KICH_04,KIRC_29,KIRC_17
4,KICH_05,KIRP_09,KIRP_04
5,KICH_07,KIRP_11,KIRP_13
6,KICH_08,,
7,KICH_09,,
8,KICH_10,,
9,KICH_12,,
10,KIRC_01,,
11,KIRC_03,,
12,KIRC_04,,
13,KIRC_05,,
14,KIRC_06,,
15,KIRC_07,,
16,KIRC_08,,
17,KIRC_10,,
18,KIRC_11,,
19,KIRC_12,,
20,KIRC_13,,
21,KIRC_14,,
22,KIRC_15,,
23,KIRC_16,,
24,KIRC_18,,
25,KIRC_19,,
26,KIRC_20,,
27,KIRC_21,,
28,KIRC_22,,
29,KIRC_23,,
30,KIRC_26,,
31,KIRC_27,,
32,KIRC_28,,
33,KIRC_30,,
34,KIRP_01,,
35,KIRP_02,,
36,KIRP_03,,
37,KIRP_05,,
38,KIRP_06,,
39,KIRP_07,,
40,KIRP_08,,
41,KIRP_10,,
42,KIRP_12,,
43,KIRP_14,,
44,KIRP_15,,
45,KIRP_16,,
46,KIRP_17,,
47,KIRP_18,,
