,train,val,test
0,KICH_01,KICH_08,KICH_09
1,KICH_02,KIRC_03,KIRC_07
2,KICH_03,KIRC_04,KIRC_18
3,KICH_04,KIRC_06,KIRC_23
4,KICH_05,KIRP_07,KIRP_04
5,KICH_06,KIRP_15,KIRP_12
6,KICH_07,,
7,KICH_10,,
8,KICH_11,,
9,KICH_12,,
10,KIRC_01,,
11,KIRC_02,,
12,KIRC_05,,
13,KIRC_08,,
14,KIRC_09,,
15,KIRC_10,,
16,KIRC_11,,
17,KIRC_12,,
18,KIRC_13,,
19,KIRC_14,,
20,KIRC_15,,
21,KIRC_16,,
22,KIRC_17,,
23,KIRC_19,,
24,KIRC_20,,
25,KIRC_21,,
26,KIRC_22,,
27,KIRC_24,,
28,KIRC_25,,
29,KIRC_26,,
30,KIRC_27,,
31,KIRC_28,,
32,KIRC_29,,
33,KIRC_30,,
34,KIRP_01,,
35,KIRP_02,,
36,KIRP_03,,
37,KIRP_05,,
38,KIRP_06,,
39,KIRP_08,,
40,KIRP_09,,
41,KIRP_10,,
42,KIRP_11,,
43,KIRP_13,,
44,KIRP_14,,
45,KIRP_16,,
46,KIRP_17,,
47,KIRP_18,,
