,train,val,test
0,KICH_01,KICH_04,KICH_10
1,KICH_02,KIRC_12,KIRC_14
2,KICH_03,KIRC_18,KIRC_23
3,KICH_05,KIRC_30,KIRC_29
4,KICH_06,KIRP_09,KIRP_02
5,KICH_07,KIRP_16,KIRP_03
6,KICH_08,,
7,KICH_09,,
8,KICH_11,,
9,KICH_12,,
10,KIRC_01,,
11,KIRC_02,,
12,KIRC_03,,
13,KIRC_04,,
14,KIRC_05,,
15,KIRC_06,,
16,KIRC_07,,
17,KIRC_08,,
18,KIRC_09,,
19,KIRC_10,,
20,KIRC_11,,
21,KIRC_13,,
22,KIRC_15,,
23,KIRC_16,,
24,KIRC_17,,
25,KIRC_19,,
26,KIRC_20,,
27,KIRC_21,,
28,KIRC_22,,
29,KIRC_24,,
30,KIRC_25,,
31,KIRC_26,,
32,KIRC_27,,
33,KIRC_28,,
34,KIRP_01,,
35,KIRP_04,,
36,KIRP_05,,
37,KIRP_06,,
38,KIRP_07,,
39,KIRP_08,,
40,KIRP_10,,
41,KIRP_11,,
42,KIRP_12,,
43,KIRP_13,,
44,KIRP_14,,
45,KIRP_15,,
46,KIRP_17,,
47,KIRP_18,,
