,train,val,test
0,KICH_02,KICH_03,KICH_01
1,KICH_04,KIRC_11,KIRC_01
2,KICH_05,KIRC_16,KIRC_05
3,KICH_06,KIRC_21,KIRC_07
4,KICH_07,KIRP_08,KIRP_05
5,KICH_08,KIRP_12,KIRP_15
6,KICH_09,,
7,KICH_10,,
8,KICH_11,,
9,KICH_12,,
10,KIRC_02,,
11,KIRC_03,,
12,KIRC_04,,
13,KIRC_06,,
14,KIRC_08,,
15,KIRC_09,,
16,KIRC_10,,
17,KIRC_12,,
18,KIRC_13,,
19,KIRC_14,,
20,KIRC_15,,
21,KIRC_17,,
22,KIRC_18,,
23,KIRC_19,,
24,KIRC_20,,
25,KIRC_22,,
26,KIRC_23,,
27,KIRC_24,,
28,KIRC_25,,
29,KIRC_26,,
30,KIRC_27,,
31,KIRC_28,,
32,KIRC_29,,
33,KIRC_30,,
34,KIRP_01,,
35,KIRP_02,,
36,KIRP_03,,
37,KIRP_04,,
38,KIRP_06,,
39,KIRP_07,,
40,KIRP_09,,
41,KIRP_10,,
42,KIRP_11,,
43,KIRP_13,,
44,KIRP_14,,
45,KIRP_16,,
46,KIRP_17,,
47,KIRP_18,,
