,train,val,test
0,KICH_01,KICH_03,KICH_09
1,KICH_02,KIRC_11,KIRC_03
2,KICH_04,KIRC_18,KIRC_17
3,KICH_05,KIRC_22,KIRC_26
4,KICH_06,KIRP_08,KIRP_10
5,KICH_07,KIRP_17,KIRP_12
6,KICH_08,,
7,KICH_10,,
8,KICH_11,,
9,KICH_12,,
10,KIRC_01,,
11,KIRC_02,,
12,KIRC_04,,
13,KIRC_05,,
14,KIRC_06,,
15,KIRC_07,,
16,KIRC_08,,
17,KIRC_09,,
18,KIRC_10,,
19,KIRC_12,,
20,KIRC_13,,
21,KIRC_14,,
22,KIRC_15,,
23,KIRC_16,,
24,KIRC_19,,
25,KIRC_20,,
26,KIRC_21,,
27,KIRC_23,,
28,KIRC_24,,
29,KIRC_25,,
30,KIRC_27,,
31,KIRC_28,,
32,KIRC_29,,
33,KIRC_30,,
34,KIRP_01,,
35,KIRP_02,,
36,KIRP_03,,
37,KIRP_04,,
38,KIRP_05,,
39,KIRP_06,,
40,KIRP_07,,
41,KIRP_09,,
42,KIRP_11,,
43,KIRP_13,,
44,KIRP_14,,
45,KIRP_15,,
46,KIRP_16,,
47,KIRP_18,,
