,train,val,test
0,KICH_01,KICH_10,KICH_03
1,KICH_02,KIRC_11,KIRC_02
2,KICH_04,KIRC_20,KIRC_06
3,KICH_05,KIRC_29,KIRC_08
4,KICH_06,KIRP_02,KIRP_11
5,KICH_07,KIRP_14,KIRP_15
6,KICH_08,,
7,KICH_09,,
8,KICH_11,,
9,KICH_12,,
10,KIRC_01,,
11,KIRC_03,,
12,KIRC_04,,
13,KIRC_05,,
14,KIRC_07,,
15,KIRC_09,,
16,KIRC_10,,
17,KIRC_12,,
18,KIRC_13,,
19,KIRC_14,,
20,KIRC_15,,
21,KIRC_16,,
22,KIRC_17,,
23,KIRC_18,,
24,KIRC_19,,
25,KIRC_21,,
26,KIRC_22,,
27,KIRC_23,,
28,KIRC_24,,
29,KIRC_25,,
30,KIRC_26,,
31,KIRC_27,,
32,KIRC_28,,
33,KIRC_30,,
34,KIRP_01,,
35,KIRP_03,,
36,KIRP_04,,
37,KIRP_05,,
38,KIRP_06,,
39,KIRP_07,,
40,KIRP_08,,
41,KIRP_09,,
42,KIRP_10,,
43,KIRP_12,,
44,KIRP_13,,
45,KIRP_16,,
46,KIRP_17,,
47,KIRP_18,,
